연번,시상명,시상기준 및 선정방식,시상인원,시상(참가)대상,연간 시상횟수,비고
1,개근상,"? 결과, 지각, 조퇴의 합이 1회도 없는 경우(1년, 3년)",해당자 전원,각 학년별 전교생,연간 1회,
2,경제 경시대회,? 사전 공지한 경제관련 내용의 범위 안에서 출제된 지필평가를 통해 부여받은 점수로 순위를 결정,"12명
최우수상 1명, 금상1명, 은상2명, 동상3명, 장려상5명","? 2014학년도 
전 학년
? 2015, 2016학년도
2,3 학년 중 희망자",연간 1회,? 수상자는 한국 경제 신문에서 주최하는 '경제 올림피아드' 및 TESAT 참가 자격 부여
3,공로상,?각 학급에서 학교의 명예 및 학급을 위해 뚜렸한 공적이 있는 학생,각 학급별 1명,각 학급별 전교생,연간 1회,? 학년말 급우들의 추천을 받은 학생 중에 학급별 1명을 선발.
4,공로상,"?학생회 구성원으로서 강당행사, 학교홍보, 축제주관, 스승의 날 행사주관 , 교내6.25참전비 헌화식, 수능장 응원, 입학식, 졸업식 스텝 및 공연 등 학교 행사에 공로가 있는 학생.","1,2,3학년 학생회 
전원","1,2,3학년 학생회 전원",연간 1회,? 중도에 징계를 받거나 학생회에서 제명이 된 학생은 시상에서 제외함.
5,"과학경시대회
(2014~2015)",? 최고 득점부터 시상하며 일정 점수 이하이면 시상자에서 제외(협의회 결정) ? 선정: 1차 지필평가 상위 30명과 희망 학생 ? 장려상 동점자가 있는 경우 인원 추가,(약 15명),고사전 지필평가 상위 30% +희망학생,"연간 2회
(학기별 1회)","? 과목: 1학년- 과학, 2학년-물리1, 화학1, 생명과학1, 지구과학1) 중 택 2과목"
6,과학경시대회(2016),"? 최고 득점부터 시상하며 일정 점수 이하이면 시상자에서 제외(협의회 결정) 
? 선정 : 학년 전체 희망 학생 
? 장려상 동점자가 있는 경우 인원 추가","최우수상(1명), 금상(2명), 은상(3명), 동상(4명), 장려상(5명), 총 15명","학년 전체 희망학생
(방과후 시행)",연간 1회,"? 과목: 물리2, 화학2, 생명과학2, 지구과학2) 중 택 2과목"
7,교내 논술경시대회,"? 제시된 논제와 조건에 맞는가(40점), 제시문의 내용을 정확히 파악하고 논지를 전개하고 있는가(25점), 자신의 생각을 창의적으로 펴고 있는가(25점), 논지 전개가 자연스롭고 원고지 맞춤범에 맞는가(10점)","? 1학년 12명
최우수상 1명, 금상1명, 은상2명, 동상3명, 장려상5명
? 2,3학년 인문
최우수상 1명, 금상 1명, 은상1명, 동상1명
? 2,3학년 자연
최우수상 1명, 금상1명, 은상2명, 동상3명, 장려상5명","1,2,3학년 중 희망자",연간 1회,"? 2014학년도, 2015학년도 시상
? 1학년 공통 논술, 2·3학년 인문·자연 논술 (각 부문별 시상)"
8,교내 정보검색대회,"?주어진 시간안에 얼마나 많은 양의 정보를 검색하는가
?주어진 양식대로 정확히 문서를 작성하는가","최우수상 1명,
우수상 4명,
장려상 10명",2학년,"연간 2회
(학기별 1회)",
9,나라사랑교육 소감문 쓰기 대회,"?나라사랑의 이해(40점)
?내용의 적합성(30점)
?표현의 체계성(30점)","학년별
4%
(15명)","1,2학년",연간1회,"?나라사랑 교육의 내용, 느낌, 생각이 들어 있는 창의적인 내용"
10,"나의 꿈, 나의 미래 발표 대회","?1학기: 2, 3학년
?2학기: 1, 2학년을 대상으로 반별 예선과 전체 예선과정을 거쳐 10명 안팎의 본선진출자 결정 후 발표대회 개최","10명
(최우수상(1위) 1명, 금상(2위): 2명, 은상(3위): 3명, 장려상(4위): 4명)","1학기: 2, 3학년
2학기: 1, 2학년","연간 2회
(학기별 1회)",
11,느티나무상,학생들의 바람직한 생활자세와 올바른 가치관 확립 및 건전한 면학분위기 조성을 위해 학생관리프로그램에 누가 기록 후 상점이 많은 상위 4% 학생 수상,각 학년별 상위 4% 이내 학생,전교생,"연간 2회
(학기별 1회)","? 2014, 2015학년도 수상
? 학생 상벌프로그램 폐지로 2016학년 미수상
? 2016학년도 2학기말에 수원4품(身言書判) 4개 영역에서 활동우수자 학년별 10%(50명 내외) 수상 예정"
16,독도 퍼포먼스 대회,"?독도에 이해 및 창의성(40점)
?내용의 적합성(30점)
?표현의 체계성(30점)","학년별
4%
(15명)",1학년,연간1회,?독도에 대한 내용을 몸으로 표현하기
23,모범상,"? 전 과목에 대하여 과목별 백분위에 단위수를 곱한 총점석차가 5% 이내인 학생
?  징계를 받은 사실이 없는 학생
? 무단결석이 없는 학생
들을 대상으로 학업성적 60%, 학급활동 10%, 학생회 활동 10%, 동아리 활동 5%, 봉사활동 10%, 교내수상실적 5%를 반영하여 선정",학년별 5% 이내,각 학년별 전교생,"연간 2회
(학기별 1회)",
31,부자 사제동행 등산 체험 학습 소감문 쓰기대회,"?부자체험의 소감(40점)
?내용의 적합성(30점)
?표현의 체계성(30점)","학년별
4%
(15명)",1학년,연간1회,?부자동행 등산체험학습으로 부자간의 사랑을 확인하며 대화를 통하여 이해의 폭을 넓혀 가족의 소중함과 호연지기를 기르고 바람직한 인성을 함양
32,"사랑의 편지
쓰기 대회","?효의 이해(40점)
?내용의 적합성(30점)
? 표현의 체계성(30점)","학년별
4%
(15명)",각학년 별 전교생,연간 1회,"?부모님이 아들에게, 아들이 부모님께 편지를 보내기 우수작"
38,"수학경시대회
(2014~2016) 인문사회계열","? 최고 득점 부터 시상하면 일정 점수 이하이면 시상자에서 제외(협의회 결정)
? 선정: 1차 지필평가 성적순 30명+희망학생)
? 동상 동점자가 있는 경우 인원 추가","최우수상(1명), 금상(1명), 은상(2명), 동상(2명) 총 6명",30명(1차 지필평가)+희망학생,연간 1회,"?과목: 1학년-(수학2과정), 2학년-(미적분2), 3학년-(확률과 통계, 기하와 벡터)"
39,"수학경시대회
(2014~2016) 자연계열",? 최고 득점 부터 시상하면 일정 점수 이하이면 시상자에서 제와(협의회 결정) ? 선정: 행사 전 지필평가 성적 순 30명과 희망학생 ? 장려상 동점자가 있는 경우 인원 추가,"최우수상(1명), 금상(1명), 은상(2명), 동상(2명) 총 6명",30명(1차 지필평가)+희망학생,연간 1회,"?과목: 1학년-(수학2과정), 2학년-(미적분1), 3학년-(확률과 통계)"
